price,year,manufacturer,condition,cylinders,fuel,odometer,transmission,drive,type,vehicle_age,price_tier
31888,2015.0,gmc,good,8 cylinders,gas,109947.0,automatic,rwd,SUV,8.0,premium
23888,2014.0,ram,like new,8 cylinders,diesel,110789.0,automatic,rwd,pickup,9.0,premium
2600,2000.0,other,,6 cylinders,gas,212061.0,automatic,fwd,sedan,23.0,budget
3500,2008.0,other,good,6 cylinders,gas,242000.0,automatic,fwd,sedan,15.0,budget
16888,2008.0,toyota,good,6 cylinders,gas,188096.0,automatic,4wd,SUV,15.0,mid
27900,2014.0,chevrolet,good,8 cylinders,diesel,170525.0,automatic,4wd,truck,9.0,premium
31590,2019.0,other,good,,other,12102.0,other,fwd,hatchback,4.0,premium
7500,2012.0,chevrolet,excellent,6 cylinders,gas,212000.0,automatic,rwd,truck,11.0,budget
9500,2013.0,hyundai,excellent,4 cylinders,gas,125000.0,automatic,fwd,sedan,10.0,budget
16900,2015.0,other,good,4 cylinders,gas,82999.0,automatic,fwd,sedan,8.0,mid
19900,2011.0,other,good,8 cylinders,gas,133257.0,automatic,rwd,SUV,12.0,mid
19900,2019.0,hyundai,good,4 cylinders,gas,21872.0,automatic,fwd,sedan,4.0,mid
18900,2019.0,nissan,good,4 cylinders,gas,47421.0,automatic,fwd,sedan,4.0,mid
22000,2013.0,other,good,8 cylinders,gas,119550.0,automatic,4wd,SUV,10.0,mid
1500,2004.0,chevrolet,fair,4 cylinders,gas,150000.0,automatic,rwd,truck,19.0,budget
23500,2008.0,other,excellent,8 cylinders,gas,73500.0,automatic,rwd,convertible,15.0,premium
3250,1997.0,other,good,8 cylinders,gas,142000.0,other,rwd,sedan,26.0,budget
3450,1997.0,honda,,4 cylinders,gas,172295.0,automatic,fwd,sedan,26.0,budget
5000,2005.0,honda,good,4 cylinders,gas,182000.0,automatic,fwd,SUV,18.0,budget
34900,2020.0,nissan,excellent,6 cylinders,gas,15400.0,automatic,rwd,SUV,3.0,premium
34590,2016.0,chevrolet,good,6 cylinders,gas,29499.0,other,4wd,pickup,7.0,premium
3650,1999.0,jeep,,6 cylinders,gas,151379.0,automatic,rwd,SUV,24.0,budget
6900,2001.0,jeep,excellent,6 cylinders,gas,144445.0,automatic,rwd,SUV,22.0,budget
26990,2008.0,ram,like new,6 cylinders,diesel,172000.0,automatic,4wd,truck,15.0,premium
11990,2011.0,other,like new,4 cylinders,diesel,70000.0,automatic,fwd,sedan,12.0,mid
3299,2003.0,chevrolet,,4 cylinders,gas,176354.0,automatic,fwd,coupe,20.0,budget
6500,2010.0,honda,like new,4 cylinders,gas,170000.0,automatic,fwd,coupe,13.0,budget
16888,2008.0,toyota,good,6 cylinders,gas,188096.0,automatic,4wd,SUV,15.0,mid
31990,2013.0,toyota,good,8 cylinders,gas,55068.0,other,4wd,pickup,10.0,premium
34990,2017.0,gmc,good,8 cylinders,gas,31728.0,other,4wd,pickup,6.0,premium
38590,2011.0,chevrolet,good,8 cylinders,gas,30237.0,other,rwd,other,12.0,premium
8500,2011.0,toyota,excellent,4 cylinders,gas,114500.0,automatic,fwd,sedan,12.0,budget
3495,2008.0,chevrolet,,6 cylinders,gas,157305.0,automatic,fwd,sedan,15.0,budget
